No,text
166,Koboy and coach yeb kalian berdua keren parahh respect ke dyren karena dia doang yang belum pernah megang piala :(
167,semangat terus tim RRQ suatu saat nanti kalian pasti juara aminn🤲🤲🤲
168,sekali rrq tetap rrq
169,kumenangis
170,andai ngambil ULTI pharsa😹
171,menyukai onic tanpa membenci rrq
172,sampai Mlbb gak ada lagi baru gw berhenti jadi kingdom ♥️
173,siapa yang di sini masih rrq ☝🔥🧡
174,"udah gapapaa, sabar yaa rrq masih ada ss depan
#sonic💛"
175,"aku dukung dua dua nya, menang kalah tetap menjadi yang terbaik! #SemangatRRQ #SelamatOnic"
176,"mendukung onic tanpa membenci rrq
SEMANGAT TIM"
177,"aku sonic tapi aku tetep respect sama kingdom dan rrq semangat guyss masih ada season season lain nya,, semangat untuk semua tim juga,kalian udah kasih yang terbaik semangat 👏🏻💪🏻"
178,kasihan lek dyrenn
179,"semangat trs rrq, semoga nanti ketemu lagi di final msc 🔥🥰"
180,"sama player nya ga benci sama sekali😻😻
tpi fans jir....."
181,beli jungler evos lagi
182,"perasaan kalo gw yg nonton, pasti runner-up mulu ni team. 🤓"
183,nt nt🙃🙂🫠
184,mencintai onic tanpa membenci rrq🥰mangatssss rrq you udh melalukan dan berusaha yg terbaikkk
185,"gua sonic, tapi di sini gua kasian sama dyrenn"
186,"soal juara 2 kami juara 1
soal juara 1 kapan woilah😭"
187,"Rrq udah jadi icon MlBB , mau kalah mau menang kita lihat RRQ seperti CR7"
188,semuanya berputar
189,"gw kasian ma dyren doang njir wkwkw ,dari sekian bnyknya player rrq gw respect ma dyren , gendong Mulu dia wkwkw"
190,GG Onic Aku Fans RRQ Gapapa kita saling berteman❤️❤️❤️
191,kolok gadak diren di sisen ni dah suren aku suport tim ni
192,aku dukung onic tapi semangat ya rrq 🥹🫶
193,"Menurutku si RRQ udah bagus si udah bisa sampai di GRAND FINALSS,"
194,Kalah menang tetep RRQ🔥🔥🔥🔥🔥🔥
195,"aku dukung onic aja ttp sedih liat rrq kalahh, semangat teruss mwahh🧡"
196,"@raflyrafly3987:fakta yg harus diterima
RRQ Tampa adi cuma mentok Runner up sedangkan rrq terakhir juara di pegang sama king Adi
""Adi tolongin Adi"""
197,wlaupun aku dukung onic tapi jujurr makasih RRQ sudah berjuang sampai titik ini semangatt terus kalian semuaa🧡🧡
198,kalian masih kingdom kan😔
199,"mencintai onic tanpa membenci rrq🧡💛
tetap semangat ya rrq🙏❤"
200,cubak ad Skylar mungkin ad harapan buat rrq.
201,Walaupun aku tim Onic aku sedih buat RRQ 😭 mungkin gara-gara ada yg nangis atau karna Sutsujin ya 😭😭
202,SINI AKU BACK SEMUA TIKTOK AFFILIATE‼️💯💯💯🔥🔥🔥
203,gua mencintai rrq tanpa membenci onic?
204,siapa disini yg masih🥲
205,"hal yang sebenarnya terjadi:
onic-rrq 🤝
sonic- kingdom🤝
seblak-kongdom🤬😡"
206,dua2 makanan srg
207,mencintai onic tanpa membenci rrq 🧡💛
208,"realmi mu kalah sama infinix ku🔥
tapi respect buat rrq👌"
209,"semangatttt RRQ & kingdom, jangan nyerah..mungkin ini belum rezeki nyaa, semangatt yaa KINGDOM & RRQ
(salam dari Sonic)"
210,"tetap semangat rrq 💪 tidak semua tim bisa ada di posisi kalian, dan buat onic congratulations 🙌"
211,"padahal kalo rrq menang aku jadian, soo harus nunggu season depan yaa??😕"
212,laki gua sensi anjjj seharian gegara rrq kalahh😭
213,"RRQ semangat yah jagn yerah, masih ad soason depan semoga kedepan nya lebih maju kedepan ny. lagi jadi kn pelajaran dari ap yang terjadi ak dari fens onic💛💛 semangat yah rrq❤️❤️"
214,semangat bestie
215,"keep strong RRQ, aku ttp RRQ ko sedih si tapi mungkin kalian udh lakuin se bisa mungkin proud of you🥺🤍"
216,semangat rrq suatu saat nanti rrq pasti menang
217,coba yah player rrq dulu main lg kaya Skylar
218,jujur ajalah.... onic tim bermental juara... KL rrq tau kan..... isi sendirilah😁😁😁
219,"lemon kecewa bngt kayanya
lemon pas live tertawa tapi terluka🗿"
220,nyesek banget liat rrq kalah😭
221,masih RRQ kan🥺... congratulations ONIC☺
222,"Semangat ya semua tim rrq, kalian hebat udah bisa sampai dititik ini
Salam ya dari Sonic💝😄"
223,respect kalian sudah Buat yg terbaik Viva RRQ🙏💪
224,tanpa lemon rrq tidak pernah juara
225,nt rrq gapapa kok cuma game 😁
226,"mencintai onic tanpa membenci rrq🧡💛
nt RRQ"
227,"akuuu onic , tapi kasiann jugaaa ama rrq"
228,menyukai RRQ tanpa membenci onic
229,Nanti skylar akan bawa rrq juara musim depan
230,INI WAKTUNYA KITA BUKAN ONIC 😅🔥
231,"tiba tiba bgt banyak fans onic,pada karbit ya pasti🤭😹"
232,"nice try RRQ , aku tetep dukung RRQ kok"
233,semangat jangan putus asa
234,"noo saya sudah cinta dengan tim ini, mau gagal berapa kalipun saya tetap ada untuk tim ini🧡"
235,Sekali rrq tetap rrq msc sepi kalo gaada rrq real
236,kesedihan bahagia juara dua 🤣
237,@GO ONIC💛:Onic Ada PH Juara MSC.. RRQ Ada PH Ngabisin Martabak🗿🗿 [photo]
238,"allo aku dari fans onic, kaliann keren kokkk mungkin kalian akan manang aku nggak tau itu kapan tapii semangattt yaaa usaha kaliannn aku dukunggg semangat yaa"
239,Ganda ng laban umabot pa ng g7
240, [photo]
241,"gg onic,next time bangkit lagi yok RRQ KINGDOM"
242,season depan kita coba lagi
243,ta best talaga back round sound ng the lion king HAHAH
244,kalian sadar ga sih tiap kali rrq ketemu chou di match point pasti kalah🗿
245,"paling gakuat liat lek ku dyren nngis😌 dr season kmrin kmu nngis lek... jngn smpai terniat untuk pindah team yaa lek, kmi sllu kungdom... gapapa ga juara mpl nya tpi buktikan dan ttap smngat untuk juara M7 nya nnti lek😇 Semngat sllu viva RRQ❤️⚘️"
246,semangat dyrenn
247,Nyesek liat rinz nya sih. Paham bgt rasanya as mid laner tp tim kalah padahal udh berusaha sekeras mungkin buat bantu tim🥺
248,hidup kadang kadang begitu iy
249,good luck rrq
250,😭😭😭😭😭 [photo]
251,respect buat RRQ
252,rrq masih punya ini [photo]
253,kenapa lagi dan lagi NT. 🥺
254,masih ada msc yok bisa rrq
255,yg sedih yang masang rrq 😂
256,kapan coba keinginan dyreen tercapai
257,boleh g sh di mpl itu misal kita menang ataupun kalah kita langsung meluk coach di belakang trus balik lgi ke stage
258,setia itu bernama kingdom
259,kek nya aku tau kalah nya setiap final pasti rrq Lane nya ada yang pake Hero itu itu terus sampe selesai kaya s14
260,tetap semangatt yaaa RRQ!
261,rrq Kalahari sedih
262,awwa>ba rrq 😹
263,puasa lagi njir
264,beda kasta lah raja lngit ame raja yg di buat'' 🤭
265,ler tolongin ler😂
266,INI WAKTU YA KITA BUKAN ONIC
267,"kalo kalah mah gapapa bisa coba lagi tapi gua, kasian sama dyren ☺️dia bisa bertahan ga ya.."
268,"NT sih sm kedua ny. cm yg gak ngira tuh manuver"" yg di luar pemain pada umum ny, dr player sanz. cb lyt tiap match ny, ada ja predik n manuver yg d lakukan. apa cm pro player khusus yg ada feel gtu."
269,UDAH YA MAIN RAJA²NYA🥰
270,fyi :SETENGAH PIALA MPLID ADA DI ONIC 🥰
271,"kalah kami diam, tapi selalu Runner up😭 #salamKingdomSehat"
272,udahan maen raja raja an nya?🫵🏻🤣
273,aaaaaa sedih tapi seru awoakwoakaok king onic di lawan 🤣
274,"𝑛𝑡 𝑟𝑟𝑞, 𝑡𝑒𝑡𝑎𝑝 𝑠𝑒𝑚𝑎𝑛𝑔𝑎𝑡𝑡, 𝑤𝑎𝑙𝑎𝑢𝑝𝑢𝑛 𝑔𝑢𝑒 𝑝𝑒𝑛𝑦𝑜𝑘𝑜𝑛𝑔 𝑠𝑜𝑛𝑖𝑐,𝑏𝑢𝑡 𝑦𝑜𝑢 𝑐𝑎𝑛 𝑡𝑟𝑦 𝑎𝑔𝑎𝑖𝑛 𝑖𝑛 𝑡ℎ𝑒 𝑛𝑒𝑥𝑡 𝑚𝑝𝑙."
275,hahaha
276,rinz mukanyaa udsh bawaan mau nangis jrit
277,kawawa namn si ate Ayu nalulungkot na di ako naaawa sa player kay ate ayu ako naaawa🥺😔😭
278,"walapun aku sonic,tpi untuk RRQ semangat ya😁"
279,"Selamat sekali lagi tim RRQ, kalian sudah memberikan yang terbaik untuk menang."
280,"tunggu aku di roaster season 16 onic
#vivaRRQ"
281,Hahahahahahahahahahahahahahahaha
282,udah donk main raja2annya 😫
283,NT LAGI NT LAGI KING DI MANA MAHKOTA MU YG DULU
284,tetap semangat my rrqku😍🧡
285,semangat buat msc onic/rrq mau siapapun yg menang semoga di msc indonesia yg bawa pulang piala msc 🔥
286,dua mulu
287,HAHAH
288,rinz selalu blunder di final match
289,"lagi dan lagi runner-up😞😞, gg onic nt rrq season dpn semoga menang"
290,bang skayler mau masuk rrq nihh
291,1 kalimat dari kongdom (kalian masih RRQ kan )🤣🤣🤣🤣
292,semangat hoshiku🥺🧡
293,"angkat kepala mu king, perjuangan mu blom usai"
294,perasaan udah 2-3 ko masih lanjut main? serius nanya yaa bukan marah
295,"seneng karena onic menang di MSc
tapi kasian sama rrq
semngat rrq 💪💪"
296,Gini trus kalo masuk Gf🥺
297,terlalu push MMR Granger drak pick terakhir kocak rrq
298,Toy🫶🏻
299,ဘာမွမျဖစ္နဲ႔ i ဝင္လာေတာ့မာ
300,mpl anti onic jirrrr
301,KING RUNNER UP NI BOS🔥
302,RRQ BUTUH MPL GAK MPL BUTUH RRQ BUKAN BGITU
303,sllu dan sllu mode final kalah aja
304,tenang ererqi kan udah menang vote dreams team 🗿
305,pharsa nya sanz di lepas mulu
306,":selamat rennur up lagi,semoga season depan bangkit dari kubur tetap semangat jangan ke pancing jadikan kekalahan sebagai kunci kedepan nya Nex stry rrq🙏🏻"
307,gw ga benci kingdom tapi kalo kingdom yg koar koar sorry gw juga koar koar kalo onic win
308,"gg rrq.....good game
salam sonic💛🦔🦔"
309,boleh like vt ku gak yg baru di post
310,lagi..lagi..dan lagiiii...
311,kutukan rave jadi analyst
312,setiap pertandingan pasti ada yang menang dan yang kalah
313,"1:0 pemanasan
2:0 latihan
2:1 kasih point
2:2 di seri in
2:3 serius
3:3 panik""
4:3 menunjukkan raja sebenarny💛🧡🦔"
314,Kenapa anak2 gamer tu positif vibes🤪
