No,text
950,gw sedih cuma buat dyrenn gw nangis cuma kasih ke dyrenn
951,seruu bet anjirrr🔥🔥🔥🔥🔥
952,apapun hasilnya kalian tetap yg terbaikk😌
953,tetep semangatt rrq
954,"congrats ya onic & Sonic
salam dri kingdom😊🙏"
955,Deserveeeeee!!!!!!!
956,semangat full indo
957,selebrasi toy wkwk pdhal belum menang cokkk
958,"rrq motto every season
""come back stronger"" 🤣"
959,"SUKAK ONIC KARNA VIBESNYA, KARNA KEKELUARGAANYA, KARNA PANTANG MENYERAHNYA, POKOKNYA SEMUANYAAAAAA 🔥"
960,wkwkwk
961,sakit bgt liat komentar sonic yg kekanak kanakan☹️😔
962,💗
963,hari hari jadi badut🥰😂
964,"tinggal selangkah lagi RRQ Juara MPL mungkin belum rejekinya, semoga aja di EWC bisa Juara 🏆🏆🏆"
965,congrats RRQ udh bisa pertahanan kan gelar
966,mau sampe kapan gini terusss?? bner CUMAN EVOS🤟🤟
967,runner 2x wkwkwkwkwk😂😂😂
968,Awokawokawo🤭🤭
969,@ONIC Esports
970,keep strong all💪🫵
971,"gppa sutsujin udh berjuang sejauh ini, kalian udah hebat, selamat buat onic🫶🏻"
972,"hari"" Runner up bang😭"
973,"udah tinggal juara,tapi banyaknya blundernya😹"
974,9x final 5x runner up 4x win😭
975,Rrq gagal juara mpl s15 disebabkan gold line rrq lagi push mmr granger
976,#freepalestine
977,nt
978, [photo]
979,sutsujin ngapa di kasih haya mulu snj udh tau gameplay hayannya gtu kck
980,kasian dyrenn nya jirr💔
981,AWOWKWOWKWOK
982,"semangat rrq,salam dari sonicc"
983,"gue sonic but gatega liat mreka,SEMANGATT RRQ NEXT TIME TUNJUKINN KALO MAKIN MENYALAA🔥🔥🔥"
984,GWS
985,Vamos rrq Ki semangat
986,2nd again 🤣
987,"Letoy jgn main genjerrr mulu bjirrrrr, rinz belajar lg dri suhu sanz 😂 brani beraninya make sanz depan luoyi"
988,Malas talaga rrq 😂
989,game lain angkat piala loh rrq
990, [photo]
991,"di pencarian gue"" cuma bisa granger"
992,dari #9 bisa ampe angkat piala situ bisa ga? 😹😹😹
993,aiiihhh!! keciwa aku game smlm.. nk nya RRQ yg menang.. brapa kali final da..
994,@teh poci👾👾
995,lagi lagi diacak acak chou season lalu chou widy season ini chou kiboy🥺
996,"tetep semangat RRQ
salam dari sonic"
997,rrq x arsenal
998,"Congratulations onic,nt rrq mau Runner up berapa kali pun tetap ku dukung 🧡"
999,luka tapi tk berdarah🥲
1000,"keep strong rrq🥰
#sonic"
1001,turunin rinz ke mdl
1002,yang sabar yaa kingdomm
1003,"@zyaa 𐙚˙:gua sonic buttt, semangattt rrq💪🏼"
1004,"RRQ juara
juara runner-up 🔥🔥"
1005,gapapa rrq nanti cuba lagi SEMANGAT!!
1006,semangat rrq
1007,"coach rrq dibayar berapa si Ama sebelah?sampe""draf ngaco anj tiap finals😮‍💨"
1008,Taunt pa
1009,SEMANGAT RRQ KEMENANGAN PASTI SELALU ADA 💪🏻✊🏻
1010,Eh udah keren lek ku .. ngapa harus sedih proses bos sabar sabar belum rezeki nya .. kedepan ada MSC 🔥lupakan hari ini kita kejar mimpi lain mya🔥.. #rrqkingdom
1011,"yg runner up aja dihujat, terus yg dibawah runner up gimana dong 🤭"
1012,tembak tembak toy toy toy
1013,"@𝔞𝔯𝔦𝖊𝖑:kalah kami diam
menang kami tidak pernah 😭"
1014,"@montonsistem:𝐔𝐃𝐀𝐇 𝐏𝐀𝐋𝐈𝐍𝐆 𝐁𝐄𝐍𝐄𝐑 𝐓𝐔𝐇 𝐑𝐑𝐐 𝐌𝐀𝐈𝐍 𝐂𝐎𝐒𝐓𝐔𝐌 𝐁𝐄𝐑𝐋𝐈𝐌𝐀 𝐋𝐀𝐖𝐀𝐍 𝐂𝐎𝐌𝐏𝐔𝐓𝐄𝐑,𝐌𝐀𝐋𝐀𝐇 𝐋𝐀𝐖𝐀𝐍 𝐎𝐍𝐈𝐂😂"
1015,knp gak baxia jungler game terakhir ya 😳
1016,6x comeback stronger 🤣🤣🤣
1017,kalah 4-3 gk buruk juga intiya lolos msc masih berlanjut
1018,😞😞😞😞
1019,awal awal aku sokong onic pass 4-4 aku tetiba sokong RRQ sbb sekian lama bocil2 ini runner up terus eh mala onic menang. nice try RRQ kamu strong team cuma dari Renz nya agak blunder
1020,"Murung gitu dek,,udah prestasi yang pantas loh,,masa kalian juara kan nggak mungkin,,udah bagus itu runner up,,"
1021,cie yang di reguler season jagain Piala king onic🤭
1022,"""ini waktunya kita bukan onic"" 🤭🤭🤭"
1023,"""ini waktunya kita bukan onic""😹😹😹"
1024,sutsujin mental nya GK kuat game ke 6 itu game 6 bisa end itu kalo nunggu lord ini Mlah blunder
1025,RRQ is the King of TAUNT not MPL ID 😂😂
1026,t t t tpi kan toy selebrasi tembak tembak bg sebelum angkat piala 🥺
1027,bjirr gg cok onik juara di ml di ff juga juara bjirr 🤯🤯🤯☠️
1028,toyyyy apa gak bosen mainnya granger mulu
1029,@teamrrq gacape king jd yg kedua mulu?
1030,mana tahan 😂
1031,setia itu mahal maka dari itu saya akan tetap viva rrq semoga bisa lebih konsisten lagi ya king dom
1032,Tembak tembak toy toy toy 😅
1033,"knpa slalu di final kayak emang udah kutukan nya , slalu gagal di final🥺🥺"
1034,"Heyy Kingdom, jgn sedih ya jgn hujat mereka, mereka udh kasih yg terbaik, mereka udhh improve bangett, skrng mungkn blm rezeky nya, perjuangan dan kesabaran RRQ bkln di balas sma yg di atas kok, mungkin skrng klh spa tau di gnti jadi juara M7💛👑"
1035,🔥🔥🔥
1036,runner-up juara dari yg terbaik
1037,😂😂😂
1038,kelasss king runner uppp
1039,🔥🔥🔥🔥🔥
1040,yg gw heranin di game ke 6 Lukas lepas sama Masha tapi anehnya malah pick baxsia
1041,sampe kebal gw😹😹🤭🤭
1042,haya sutsujin ayam
1043,lagi dan lagi kalah di final😭🥹
1044,😿duta Runner up
1045,karma
1046,dyren..
1047,again n again part 3 runner up 🥺
1048,ga ad sejarah nya rrq juara tanpa lemon
1049,nt rrq
1050,🗿
1051,🥹💪
1052,RRQ juara 1 runner up🙏🙏🙏
1053,Its ok kalian semua hebat🫶🏼❤️
1054,SANG RAJA RUNNER UP 🤡🤡🤡
1055,cair lagi pak ap
1056,bukan juara lokal lagi duta Runner up 🗿🙃
1057,keep strong RRQ 🔥🔥🔥
1058,🥺🥺
1059,"tidak semua orang paham tentang apa yang tiba-tiba membuatmu diam, GGNT HOSHI COMEBACK STRONGER!!"
1060,"perjalanan masih panjang lek nice try udah gg banget sumpah kerennn, nunjukin bahwa mpl id bukan laga tani keren banget les go ewc masih banyak yg perlu dibenahi pelajari usaha i yg keras lagi salam respect sonic baik🙏🏻🙏🏻#wedontjudgeyoubesstt"
1061,ttp RRQ🥰🥰
1062,"#Janganlupapickgranjer
#cumabisagranjer"
1063,gw kasian ama dyren🥺
1064,fans mu & fans rrq mah udah kebal bg🗿
1065,hoki
1066,semangat boy ga semua tim bisa b2b runer up 🗿🗿
1067,"SAVERO : HARIT, WAN WAN, IRITEL, CLAUDE
TOY : GRANGER,GANJAR,GRENGER,GANJAR
#RRQ BADUT"
1068,"blunder nya rrq itu lo,apalagi si toy ga berhenti' pake granger nya😌"
1069,RRQ is hands down the most consistent at choking
1070,"ga tega ke dyreen cuman dia yg belum punya piala,lokal atau international"
1071,onik gua ogah Runner up 😁🤪
1072,ke gh aja kalo mau minjam yg terbaru 🤣🤣🤣
1073,udah biasa😳
1074,RRQ the punching bag of onic team🤣
1075,jgn ayam ayam an makannyaa
1076,ko pada hujat si? dua duanya udah gg banget loh
1077,"toy cuman bisa greger wkwkwk😹
mending Skylar wak"
1078,semangat 🤩
1079,respect kingg
1080,taunt pa
1081,"gapapa,nt back stronger aku dan kingdom semua sllu ad dibelakang kalian mendukung dsn mengapresiasi semua usaha kaliannn,masi bisaa msc back stronger king👏"
1082,😳😳😳
1083,nt
1084,gak usah bandingin sanz ama rinz udah jelas jagoan Sanz. mungkin klo bandingin gua ama rinz mungkin jagoan gua
1085,onic vs bocah starsyndrom
1086,like last time I will say it again comeback stronger next season 😂😂😂
1087,tetep semangat ya rrq🔥
1088,#rrqhargamati
1089,Ramdam na ramdam yung pagod tyaka pressure nung game 7 e
1090,RRQ King of comeback stronger 1000X
1091,udah ya main raja-raja an nya
1092,ini ap
1093,🥺🥺🥺
1094,"jadi kingdom itu ga hina kok , lagi di bawah pun tetap ngedukung walaupun sakit dua kali liat juara lepas di akhir2"
1095,RRQ tetap pemenang di hati Kingdom🔥❤️
1096,oke skrng gw alterchamp
1097,runner-up lagi😔
1098,@. rinzzzz😭
1099,"gua dkung onic tapi sedih liat si dyren, pindah lek lu salah team🥺"
1100,🔥
1101,HAHAHA
1102,RRq selagi simpan sutsujin memang x pernah menang la
1103,kalo nangis aq paggilin KDM Lo 🗿
1104,💪💪🫶🫶
1105,selain navi ternyata rrq juga konsisten ya
1106,"aku fans onic tetapi dukung RRQ jg, semangat terus RRQ, its alright."
1107,semalem deg degan bngt 😭😭😭😭
1108,semangat rrq😊😊
1109,jago kalo gak masuk final🗿
1110,kasian ama lek diren aj sih
1111,when ya liat dyren angkat piala🥺
1112,"respect sama rrq, tetep strong ya and semoga season selanjutnya 🫂"
1113,our rrq girls and ate uafyu is sad
1114,eeeh rrq pialanya ketinggalan😭😭😭
1115,respek cuyy
1116,semangat terus RRQ🙏
1117,kok bisa exp baxia mana masuk akal coatch ny rrq main rank aj g usah turnamen
1118,onic menyelamatkan dari kebisingan 😂
1119,nangis gw dri semalam liat kegini😭
1120,"menang kalah juga tetep di hujat, di bilang lokal lah, dibilang settingan lah, dll🗿"
1121,dutaaa Runner up
1122,final lawan onic kalah mulu jir😂
1123,semangat rrq
1124,habis koin gua anjim 🤣
1125,😅
1126,@𝙯𝙞𝙥𝙮𝙮
1127,PH import is better than RRQ
1128,dukung rrq kaya dukung mu🗿
1129,kenapa baxia?🥺 kenapa Yve?🥺 hhhaaaahhhh 😡😞😓😫😫😫
1130,lagi dan lagi kalah di final😔
1131,"it's okayy rrq kalian udah hebat bangett mainnya sampe aku aja deg²an pas match gf tadi😭, jgn patah semangat yaa🔥 -seblak baik💛"
1132,😅
1133,untuk ke 3 kalinya melihat kekalahan di final
1134,"balikin skaylar, kita bicara fakta aja blum ada yg bisa ganti posisi dia jdi goldlaner."
1135,NT RRQ semangatt masih ada EWC
1136,@Jonathan Liandi
1137,King Lokal?? 😅
1138,SEMANGAT RRQ🧡
1139,pick Granger dulu ges😁
1140,Gapapa semangat terusssss kemarin sudah sangatt bagusss🥰🥰🥰 mski harusnya game 6 udah menang si hehe
1141,toy taunting 😂 onic time
1142,don't cry RRQ
1143,kesedihan ini adalah seni nya mendukung rrq
1144,Gpp nanti coba lagi ya RRQ
1145,kingdom of comeback stronger
1146,byebye
1147,nice try RRQ💛🧡
1148,spesialis runner up = arsendal
1149,@kiko:enak bet scrol tt anjay😹😹😹
1150,"NT, don't taunt too early 🙈"
1151,😹
1152,yeb tolongin yeb gada yeb gabisa juara tuh onic 😂
1153,gpp yok coba lgi seson depannn
1154,klah menang tetap rrq👍👍🧡
1155,:Tegakan kepala RRQ KALIAN harus fokus ewc
1156,aku suka sama onic tapi semangat rrq🥰🥰🥰❤️
1157,balekk😆
1158,nt sean depan
1159,tembak toy toy toy
1160,ejettt gini brokk lawan nyaa
1161,udah yh main raja²an nya🤣
1162,lawak ppq 😹
1163,AKU TETAP CINTA TANAH AIR INDONESIA🗿
1164,dh lah stop gua dukung rrq dari dulu Runner up trus capek 🗿
1165,"plis guys tetap respect aja, kalo rrq kalah ya berarti bukan rejeki dan emng onic yg jago. ttp dukung tim indo di msc aja jngn gaduh"" trs"
1166,yesssss gak berisik selama beberapa minggi
1167,Rinz kena mental 😌
1168,"gg rrq, nt wkwk"
1169,Wkwk 😝 minimal ada msc nya dulu
1170,si Hazle masih di malay ya
1171,nt king🙏💔
1172,sampe kapan ya gak juara
1173,"tim paling konsisten, konsisten runner up 🤭😛"
1174,kalah di final lebih sakit dri pada kalah di playoff🥺🥺🥺😌
1175,yang penting RRQ udh berjuang sekaras²nya malaupun kalah🥹
1176,ngeliat toy nangis smbil duduk di bawah bikin dada sesek banget njirr
1177,onik ff SMA onik ml ankat piala
1178,still congrats to you guys remember u did Ur best
1179,Semoga sutsujin ga pensiun dini ya🥺
1180,Nt team🧡🫶🏻
1181,muak anj toy granger terus
1182,nag angas kase agad eh gagagagaga
1183,mungkin jatahnya rrq di msc
1184,gapapa RRQ tetep semangat buat MSC
1185,😭
1186,lek dyrenn🥺
1187,Oh my dyrennnn🥹
1188,keep strong rrq💪💪
1189,nt el runner up
1190,seperti biasa rrq y begini bro kalah di final
1191,#GANTIJUNGLER
1192,"Nt teammm, lebih berusaha lagi yaaa dan tetap terus belajar untuk jadi lebih baik🧡🧡🧡"
1193,udah gak aneh dri dlu heran
1194,tetep rrq
1195,mana tadi yg selebrasi😂
1196,kek ikut nyesek g siii???
1197,"royal besti🧡💛
king of sky and king of king"
1198,kasiann bett ma dyreenn
1199,🥰
1200,What are we gonna do next year? i'm proud of all your efforts RRQ keep the spirit ☹️☹️☹️
1201,"Respect untuk rrq, tidak untuk kongdom 😹"
1202,sonic baik mengucapkan semangat rrq
1203,ga kebayang kalo lu fans rrq+ditinggal ansel nikah🥺
1204,kata gw mah Uda stop main raja2 an😂😂😂
1205,kekalaahan bukan akhir dari segalanya tetap semanagt rrq
1206,nyesek bgt cok
1207,next coba referensi lagi dong masak galau kan ini bukan yg satu kali nya udah sering gini.yok masih ada m7
1208,puasa lagi 😹
1209,😔😔😔
1210,😂😂😂
1211,kutukan tim yang duduk di kanan waktu grand final pasti kalah
1212,"come on bro kita ini kolektif bukan individu, stop saling menyalahkan 👍"
1213,"Jujur ga sekecewa season lalu apa karena udah terbiasa dengan runner up yak wkwkwk. Nt rrq dan congrast for onic atas piala mpl ke 7nya. Di msc nanti kita sama"" berjuang buat bawa piala itu ke ID lagi yak, salam respect dari kingdom"
1214,gua Sonic gua akuin kalo rrq jago apalagi rinz sama dyrenn sama idok
1215,respect rrq salam dari sonic
1216,malah pake valentina rinz game6 tu wanwan nyah bebas gerakk
1217,dyrennnnnnn😔
1218,😝😝😝
1219,"GG banget RRQ tadi malem, sempet bikin gue sebagai Sonic pasrah pas game ke 5. Tegang banget asli, semangat ya RRQ nd Kingdom."
1220,"rrq kurang nya di mm doang, coba Skyler yg main pasti di bantai abistu landak afrika"
1221,gigit jari wkwk😹
1222,El renal up😂
1223,udh gini aja gw mah kalau menang nya onic trus udh jangan ada nih mpl lagi aja dah
1224,lah emang kalah😩?
1225,😁
1226,nt
1227,NT NTTT
1228,"RINZ KASIAN BGT SUMPAA, NT KALIANN GUYSSS SEMANGATT RRQ"
1229,alright nya kapan?
1230,"wkwk si bot yg bilang celvin murung mana sih, oh ya di pinjamin ke malay buat jadi badut🤭"
1231,respect dari sonic
1232,it's onic time 🔥
1233,PPQ🤣🤣🤣 DARI DULU GA BERUBAH BERUBAH🤣🤣🤣🤣
1234,ini yng nama nya grand final. thank RRQ❤️
1235,kasiyanoi🤣
1236,"Udh capek dari season 12 gonta ganti roster,tapi selalu ending #2 ,Mana game 3-3 masih aja lepas PHARSA DAN MAKE BAXIA GATOT ,NGAPAAINNN??????????😭"
1237,gini aja terus capek
1238,🔥🔥🔥
1239,nt nt rrq
1240,@Okepstory:onic menyelamatkan dunia dari kebisingan anak anak sd
1241,nicetry hoshi kita coba season selanjutnya 🥺🥺 keep strong
1242,kasian liat dyrenn uda 4x runner up🥺
1243,sabar ya second choice nya mpl🤭
1244,aku akan selalu mendukung rrq
1245,semangat yaa kaliann kalahh boleh hilang semangat jangann
1246,@Popscene
1247,Nt ya😁😁😁
1248,@dickydimasss:onic menyelamatkan dunia dari kebisingan😹
1249,Alhamdulillah.
1250,kesian ya dyreen☹️
1251,@ragilbaguss. udh nangis nya?😹
1252,"harusnya game 6 bisa langsung juara.
tapi sayangnya gak belajar dari kesalahan"
1253,semangat RRQ dari onic🧡💛
1254,what time is it?
1255,@Jenny 0_0 ejek Dwi jenn @Dxy hahaha hahaha hahaha hahaha hahaha hahaha
1256,udh gw wanti kalo sampe ke Macht 7 fiks kalah
1257,wkkw
1258,susah sih rrq kalau udah melekat sama kata duta Runner up mah🙏🙏🙏😭😭😭😭😭😭😭😭😭
1259,😁
1260,man pau aj main pau😹
1261,"kalian masi kingdom kan?
btw gg onic"
1262,"Semangat rrq , masih banyak turnamen kedepannya 🔥"
1263,kairi pick kaja buat nangkep ayam 😹🤭
1264,pialanya bagus banget coo
1265,ga tega liat dyrenn
1266,"awal"" #1 tapi akhirnya juga klh sm KINK ONIC 😹"
1267,"MAKASIH KAIRI UDH MENYELAMATKAN DUNIA DARI KEBISINGAN ERERKI😇🥳🥳👻
SELAMAT RRQ DENGAN SKIN HARLEY BASICNYA🤡"
1268,GG brok🔥👍👍
1269,@Zefaa hhh
1270,pensiun jadi kingdom.
1271,ujin jangan blunder mulu donk
1272,🤣🤣🤣 selalu diduain🙏🙏💪
1273,mana udah tembak' toy tdi lagi eh malah kalah🤣😭
1274,keep. stronggg RRQ
1275,BE STRONG GUYS RRQ IM SUPPORTER OF ONIC BUT THAT'S PART OF GAME WIN OR LOSE BUT YOU TRY YOUR BEST THAT GAME NICE GAME RRQ 💪💪💪
1276,😁
1277,king of kings? bruh.
1278,🖤🖤
1279,ini main apa yang komen banyak bocil?
1280,ngepus mmr baxia🗿
1281,deserve
1282,king onic lawan badut runner up
1283,😔😔
1284,rispek dari onic😁
1285,lagi dan lagi🥲
1286,tetap RRQ di hati 💪💪💪💪
1287,rra ken
1288,nt rrq dan kingdom
1289,kan bener ujungnya onic yang juaraaa
1290,ONIC THE KINGDOM MPL ID 🔥🔥🔥🔥
1291,"tembak"" nya mana toy"
1292,lemess banget lekk dyren
1293,mau kaget tapi udah biasa rrq emang gini
1294,iihhh😁
1295,kutukan runner up
1296,always runner up from tlid to onic ph and now onic esports
1297,izin save min
1298,gw kingdom mengakui onic gg
1299,kingdom makin berkurang 😫
1300,haha RRQ 😆😆😆
1301,hama ppq wkwk
1302,PPQ 🤣🤣
1303,"el runner up awokawok😹😹
2 kalimat lucu “sang raja akan merebut tahtanya” .... “RRQ kami titip M6”"
1304,kok ga selebrasi tembak2 lagi?
1305,"semangat RRQ jangan sedih, gua masih dukung lu"
1306,masi Kefikiran selebrasi toy
1307,Where is Skylar? Why Skylar is not on RRQ?
1308,The uncrowned kings
1309,GG ONIC RRQ 🔥
1310,respect
1311,"Hats off to both teams. 🙌 Whether you won or lost, your passion, skill, and sportsmanship shone through. You both deserve respect and admiration! 👏👏👏"
1312,seneng onic menang tpi kek kasian sma rrq keep strong rrq kalian keren ko🥰
1313,@teamrrq the curse name for being a fake king. I think it's time to change your team name..😂😂😂 and btw pls. hide sutsujin joy reserve that hero for final..😂😂😂
1314,kasian dyren
1315,prestasi king sanz > all time hosi bahkan sampai masa depan
1316,RRQ tanpa skayler sama lemon bisa apa
1317,toy selebrasi tembak tembak 🤣🤣
1318,king onic
1319,taunt🙏🙏
1320,si uayfu ba yung nakaupo dun??
1321,@dickydimasss:onic menyelamatkan dunia dari kebisingan😹
1322,Kesian ke dyrenn aja sih
1323,ONIC4-3RRQ
1324,next rrq bisa...yokk rrq
1325,😂😂😂
1326,Keep strong king💪🥰
1327,RRQ = the best comeback stronger CHAMPIONS OF THE WORLD 💪
1328,keep strong Hoshi 💪❤️
1329,🥰🥰🥰
1330,"nt rrq, semangat terus 💪🏻"
1331,emot lagi dong toy🤭🤭
1332,MINIMAL PROFESIONAL LAH JADI PANITIA MASA ONIC BELUM KALAH DAH PAMIT COBA KALO RRQ YANG FI GITUIN PASTI DI HUJAT KINGDOM
1333,kyk MU
1334,🥺🥺🥺
1335,😁
1336,dahlah🙂
1337,ibalik nyona si skylar
1338,keep strong buat para kingdom!!
1339,jika tidak season ini mungkin season depan jika tidak season depan mungkin tahun depan | lagu ( kita usahakan lagi
1340,RRQ 🧡😔
1341,🙏🙏🙏
1342,🥰
1343,"suka onic tanpa membenci rrq,semangatt yaa rrq💪"
1344,Nangis gw yaAllah🥹🙌
1345,TOyy selebrasi gengger onic selebrasi piala 😆😆
1346,vivaaa rrq🥰
1347,"Playernya udah bener , yang salah coachnya gak respect sama sans 😂😅"
1348,maen becekan sekarang ujan nihh
1349,😭😭😭😭
1350,makan tuh baxia
1351,🔥🔥🔥
1352,Sabi na eh na sa una lang masaya deh umiyak tuloy kayoo😅😅
1353,gue sonic tpi smlm liat rrq sakit bgtt 😭😭😭 nt rrq semangat terus
1354,gpp namanya permainan pasti ada menang kalah😊 yokk semangat kingdom🥰
1355,diatas raja masih ada raja bro
1356,bang knp maksa make Granger? padahal wanwan Hero late game
1357,arsenal versi mole
1358,🥰
1359,"choker ""nt comback stronger"""
1360,Tp pa Rinz tulala tuloy. 🙂
1361,@Litch sonic rispek ga ?
1362,"""ayam poke"" yg dikatakan dark sistem. tapi jujur gw pendukung onic gw cuman mau ngomong semangat."
1363,"yg penting lolos ewc dulu,,,duit ewc lebih menggoda dari turnamen apapun hhhh"
1364,weak Draft 👍😎
1365,Mach tadih mlm kita boleh jdi lwn tpi d msc kita dukung sma” yahh mau onic atau rrq semoga kita bisa bawa pulng piala mcs aamin😁
1366,draft paling hina
1367,Yan Kasi sinayang nyo si brusco
1368,"NT,rrq Hiroshi bawi nlng kayo"
1369,😔😔😔
1370,toyy mode push mmr🤣🤣
1371,king runner-up😁
1372,"ujung ujung nya apa ?
"" comeback strong king "" ahhh basiiiiiii
@rzhang98 @y03k1"
1373,👍
1374,"Kingdom nih boss,kami tidak takut dengan siapapun karena kami di didik untuk nyerang ig🔥🔥"
1375,🤩
1376,🥰🥰🥰
1377,utututuuuu🥺 [photo]
1378,coba liat story ku
1379,Jangan hina rrq guys . Mereka sudah hina 😂
1380,keep strong buat RRQ🔥
1381,perasaan #9 sonic ga sebanyak ini wkwk
1382,"rin ngk usah sedih, yg bikinnya kan belunder lo🗿"
1383,nangis dia wak
1384,pengen dah liat dyrwn angkat piala
1385,ayammm
1386,tetap RRQ apa pun yang terjadi.🙂
1387,nt
1388,goodd game
1389,ဆော်လေးတွေပဲ သနားတယ်😎
1390,🥺🥺🥺
1391,ayo tim indo bisa menang di m series
1392,gapapa king👑
1393,onic vs ai🤙
1394,🎶: The winner takes it all
1395,Gppa 😭
1396,semangat rrq
1397,still congrats rrq
1398,"respect yo kalian di stage memang lawan tapi kalian sama² perwakilan indo di msc semangat terus RRQ comeback strong buat MSC
dan ONIC pertahanan posisi itu dan semoga RRQ dan ONIC bisa mendominasi di msc nantinya ♥️🦔👑"
1399,yg pnting konsisten runner-up 😂
1400,njirr banjir dah ni nangis 😭
1401,"pas 3-2=RRQ VS AI,ini waktunya RRQ🗿🗿🗿
pas 4-3= respect,rispect,rispuk,ujung²nya ripuh 🤭🤭🤭🤭."
1402,🥺🥺🥺
1403,kalian jago cuman jangan taunting sembarangan kalau belum pasti 😭
1404,😳
1405,"IT'S OKAYYY, THEY'VE DONE THEIR BESTT! proud of 'em, udah bisa sampe runner up! yaa mungkin emang belum rezekinya ajaa! dyren kalo bisa jangan terlalu nafsu ke musuh, yaa mungkin kebawa hype grand final kali yaa. FIGHTINGG RRQ 🫵🏻🔥"
1406,ganti itu sutsu sama toy ... gua yakin nih team jd team op
1407,😭
1408,kutukan tumpengan
1409,gitu aja teruss seru soalnya liat badut buat ramein grand final mpl 😂😂
1410,"kembali bangkit, sudah pasti ada kemenangan menunggu"
1411,ga ada lemon
1412,😻
1413,🧡
1414,lek dyreeennn😭 #comebackstrongerking👑🧡
1415,gak heran sih namanya juga badut 😂
1416,keren rrq bak to bak runner up
1417,😁
1418,BAXIA FIRST PIC UNTUK APA GW TANYAK🤣
1419,kalian hebat😭😭😭😭🥰🥰🥰🥰🥰🥰
1420,"cuma berharap di mpl
karena di inter mustahil
sekarang MPL pun kek mustahil"
1421,@Simorningperson 🥺😭
1422,runner up 2x jir lah
1423,arsenal cabang ml
1424,Bejo menangis😳😳😳
1425,dan ini tembak tembak toy toy dan akhirnya kan tololl pus MMR Granger 🤣 belum apa apa udh kyak menang si toy itu ONIC bosku sang raja langit Merdeka ONIC 🔥😎 [photo]
1426,it's hurts
1427,udh bagus rrq Player muda kaya gini potensinya masih besar 🔥🔥
1428,onic tanpa yeb bisa apa 🤣 hoki doang.
1429,KING OF KINGS 👑
1430,"Gw Sonic, tetap respect ke kingdom.
Salam hangat 👍"
1431,"nt guys ,tegakan kepala mu perjalanan masih panjang janji ya setelah hari ini harus lebih kuat lagi❤️"
1432,"upin ipin said: jangen la bersedi gurau je
keep strong"
1433,𝘬𝘰𝘮𝘦𝘯𝘵𝘢𝘳 𝘪𝘯𝘪 𝘥𝘪𝘴𝘦𝘮𝘣𝘶𝘯𝘺𝘪𝘬𝘢𝘯 𝘬𝘦𝘳𝘢𝘯𝘢 𝘮𝘶𝘯𝘨𝘬𝘪𝘯 𝘮𝘦𝘯𝘺𝘪𝘯𝘨𝘨𝘶𝘯𝘨 𝘱𝘦𝘳𝘢𝘴𝘢𝘢𝘯 𝘧𝘢𝘯𝘴 rrq .....
1434,"Sekali kingdom tetaplah kingdom, kingdom yang sebenar-benarnya adalah dia yg selalu mensupport RRQ menang ataupun kalah, juara ataupun tidak🥺🤴"
1435,"semangatt ya rrq kami dari fan onic💗🫂
#semngatdarifanteamonic🦔💛"
1436,raja langit menumbangkan raja dari segala *BADUT 😂
1437,"Dimensi lain said : "" udah yaah kairi ngalah aja, kasih piala mplnya buat rrq ""
kata² yg ngakak gua dengernya, bukan tandingannya onic mau tetep berusaha menang lawan onic lawack 😏😂"
1438,arsenal
1439,Emang udah kutukan ga sih guys menjadi Runner-up 🗿
1440,keep strong🥺🥺🥺
1441,dyren ☹️☹️☹️
1442,dor dor dor 🤣
1443,BUATINN AE MINN PLISSS
1444,PALAGI NALANG BA RUNNER UP RRQ? DI NA KAYO NATUTO! HAHAHAHA
1445,dari dlu ga pernah respek hero musuh coba respek lah pas final gini
1446,PINATALO KASI NI SER GEYBIN EH HAHAHAHAHA
1447,"semangat
""gua dari fans onic"""
1448,kalah menang tatap rrq 🤡
1449,"jadi kungdom harus kuat mental.menang di hujat kalah apa lagi.kuat"" tun mental dah."
1450,always nt🙂
1451,"game 6 dyrennn blunder pake bendet kah"" maju"" sendiri tanpa backup"
1452,Sanz GG banget dah…
1453,😁
1454,"Respect,Nice Try boy🥂"
1455,"Gw sonic ttp semangat buat RRQ, comeback stronger 🤝🙏🏻"
1456,selamat memperpanjang puasa gelar rereqi 😂🤣🤣🤣😂😂😂🤪🤪
1457,"#9: onic sekelas navi😹
juara: gua sonic😶‍🌫️"
1458,😂
1459,deserve!
1460,🥰
1461,salah nya rrq malah gk peduli sm skylar jadi keluar kan/kalah
1462,itu kiboy pick Chou buat nendang ayam sama fansnya sampai ke GH biar gak berisik 🤣🤣
1463,@Saldickin 🙃
1464,😂🥺
1465,"sebenernya capee, cuman hati gw gabisa pindaaaah"
1466,semangat rrq👑
1467,puasa mulu ni buka kapan ya🙂
1468,🗿
1469,udah 2 kali kalah di final👑😭
1470,🫶🫶
1471,champion po ba onic id natin??
1472,dyren raja tanpa mahkota 👑
1473,"from #9 (dibully habis-habisan) to the king champion (banyak jadi fans karbitan) 🤣🤣
from zero to the hero
👍👍"
1474,rrq suka nge badut njirrr🤣🤣
1475,alhamdulillah
1476,kasian lek dyrenn 🙂
1477,"min boleh jujur gak,kenapa setiap team RRQ kalah di grand final. fyp nya pasti RRQ terus, yang menang malah cuman 3 hari terus redup lagi😅"
1478,tetep smngt kingdom🔥😊🥺
